ID,Name,Longitude,Latitude,Source,Seascape or Site,Basin,Region,Location,"EEZ, High Seas or both",Leading institution,partners,Key leader/agency,Time frame,Area,Level of Protection (Current),Level of Protection (Desired),Importance,Opportunity,Reference1,Reference2
1,Drake Passage east to Burwood Bank,-61.28544517,-56.23565449,Ben Lascelles (BirdLife International),Site,Antarctic,,Drake Passage east to Burwood Bank,"Both, EEZs multi-country",BirdLife,BirdLife,"CCAMLR, Argentinean and Chilean governments",,,,,,,,
2,Heard Islands & McDonald Islands,73.34,-52.34,WWF website,Site,Antarctic,,Heard Islands & McDonald Islands,CCAMLR,WWF,WWF,"Australian Government, CCAMLR",Already protected?,"65,000 km2","58,000 km2 no-take",?,"Convergence zone important for top predators, coral communities and nursery ground for commercially important fish",,,
3,Patagonia-Antarctica Seascape,-25.30187174,-60.28454663,Greenpeace website,Seascape,Antarctic,,Patagonia-Antarctica,Both,GP,"Greenpeace, Wildlife Conservation Society, World Wildlife Fund, SEA Alliance, Greenpeace","CCAMLR, Argentinean Government",,Includes high seas areas and Weddell Sea,,,Highly productive and diverse area important to commercial and subsistence fishing,,,
4,Prince Edward Islands & Del Cano Ridge,37.9042053,-46.6390648,Mandy Lombard (Nelson Mandela Metropolitan University),Site,Antarctic,,Prince Edward Islands & Del Cano Ridge,EEZ,WWF,WWF,South African Government,In process now,"180,000 km2",Closed to fishing within 22.2 km of shore,,Important grounds for top predators and breeding grounds for penguins and albatrosses but threatened by fishing,South Africa announced plans to create MPA in late Dec 2009,,
5,Ross Sea,175.4683211,-75.02274494,James Barnes (Antarctic and Southern Ocean Coalition),Site,Antarctic,,Ross Sea,,CCAMLR,"Antarctic and Southern Ocean Coalition (Pew partner), Sylvia Earle Alliance, IUCN, Last Ocean Trust, Greenpeace, WWF, Pew, National Geographic Society and other Mission Blue partners, WDCS, MCBI",CCAMLR + CEP under Antarctic Treaty,November 2012,"647,000 km2, or ~2% of the Southern Ocean",,"Full protection, allowing permitted scientific investigation","Increasing interest in fisheries in the area and current CCAMLR mgmt regimes may not be effective; Biologically unique, long-term studies; One of the last not degraded areas, great top predator abundance, endangered & endemic spp (penguins, whales)",,,
6,Arctic ocean,-27.66196019,87.48406783,WWF website,Seascape,Arctic,,Arctic ocean,Both,,"WWF, Oceana, The Ocean Conservancy, NRDC, MCBI","Arctic Council: Russia, Canada, Norway, Finland, Iceland, Denmark (Greenland), Sweden, US Governments",,"Bering sea, from Greenland to Russia",,"Closed to oil/gas development, others?","Fragile ecosystem vulnerable to climate change, fishing, shipping, pollution and oil/gas development that threaten ecosystem and local communities",,,
7,Franz Joseph Land,54.99,81,NGS List,Site,Arctic,,Franz Joseph Land,EEZ,NGS,"WWF, NRDC, Prince of Monaco Foundation",Russian government,TBD,,"Islands are part of Russkaya Arktika National Park, 26,000 km2 in MPA (IUCN Category IV)",,"Site important for polar bears, beluga whales and seabirds",,,
8,Gakkel Ridge,31.12397026,86.17159192,Silvia Earle Alliance website,Site,Arctic,,Gakkel Ridge,Both,SEA,"SEA, MCBI, IUCN","Russia, Greenland, Norway governments, others?",,1800 km underwater range,,,Hydrothermal vents isolated from other oceans and covered on the surface by ice,,,
9,"Lancaster Sound, Canada",-83.35808041,74.12147103,"NGS List, Norm Sloan (Gwaii Haanas National Park)",Site,Arctic,,"Lancaster Sound, Canada",EEZ,Pew,"Qikiqtani Inuit Association, Pew",Canadian government,?,,,Closed to oil/gas exploration & development,Important pack ice region; high density of marine mammal and seabirds,Canadian candidate MPA,,
10,Amatique Bay-Manabique,-88.69664724,15.86847029,Carlos Saavedra (Summit Foundation),Site,Atlantic,Central,Amatique Bay-Manabique,EEZ,Summit Foundation,Mario Dary Foundation,Guatemalan Council for Protected Areas (CONAP) = the country’s top authority for parks and reserves,Unknown at this time,"1,055 km2 Part of the larger Gulf of Honduras, shared by Guatemala and Belize. It ",,Marine reserve,Tropical rainforest and managrove habitat with an abundance of birds and reptiles; important fishery grounds,,,
11,Central Atlantic Shearwater and Petrel Migration Corridor,,,Ben Lascelles (BirdLife International),Seascape,Atlantic,Central,Central Atlantic Shearwater and Petrel Migration Corridor,High Seas,BirdLife,BirdLife,"ICATT, others?",,,,,,,,
