WDPAID,Title,WikipediaUrl,ThumbnailImg,Feature,CountryCode,Elevation,Lat,Long,Language,Summary
CA202,Greyhound Rock State Marine Conservation Area,http://en.wikipedia.org/wiki/Greyhound_Rock_State_Marine_Conservation_Area,,,,,37.0783,-122.27,en,"<p><b>Greyhound Rock State Marine Conservation Area (SMCA)</b> is one of two adjoining <a href=""javascript:go('Marine_protected_areas')"" title=""Marine protected areas"" class=""mw-redirect"">marine protected areas</a> off the coast of <a href=""javascript:go('San_Mateo_County')"" title=""San Mateo County"" class=""mw-redirect"">San Mateo County</a> and <a href=""javascript:go('Santa_Cruz_County,_California')"" title=""Santa Cruz County, California"">Santa Cruz County</a>, on California’s central coast. The area is approximately 55 miles (89&#160;km) south of <a href=""javascript:go('San_Francisco')"" title=""San Francisco"">San Francisco</a>. The SMCA is 11.81 square miles (30.6&#160;km<sup>2</sup>). Within the SMCA fishing and take of all living marine resources is prohibited except the recreational take of giant kelp, squid, salmon, and other finfish, subject to various conditions. Also permitted is the commercial take of giant kelp, salmon, and squid, subject to various conditions.<sup id=""cite_ref-0"" class=""reference""><a href=""#cite_note-0""><span>[</span>1<span>]</span></a></sup></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Greyhound_Rock_State_Marine_Conservation_Area"" target=""_blank"">Read full article..</a></p></div>"
CA206,Moro Cojo Slough State Marine Reserve,http://en.wikipedia.org/wiki/Moro_Cojo_Slough_State_Marine_Reserve,,,US,0,36.8025,-121.7847,en,"<div lang=""en"" dir=""ltr"" class=""mw-content-ltr""><p><b>Moro Cojo Estuary State Marine Reserve</b> (SMR) is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> established to protect the wildlife and habitats in Moro Cojo Slough. Moro Cojo Slough is located inland from <a href=""javascript:go('Monterey_Bay')"" title=""Monterey Bay"">Monterey Bay</a> on the central coast of <a href=""javascript:go('California')"" title=""California"">California</a>, directly south of the more widely known <a href=""javascript:go('Elkhorn_Slough')"" title=""Elkhorn Slough"">Elkhorn Slough</a>. The area covers 0.46 square miles (1.2&#160;km<sup>2</sup>).<sup id=""cite_ref-0"" class=""reference""><a href=""#cite_note-0""><span>[</span>1<span>]</span></a></sup> The SMR protects all marine life within its boundaries. Fishing and take of all living marine resources is prohibited. <sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1""><span>[</span>2<span>]</span></a></sup></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Moro_Cojo_Slough_State_Marine_Reserve"" target=""_blank"">Read full article..</a></p></div>"
CA209,Edward F. Ricketts State Marine Conservation Area,http://en.wikipedia.org/wiki/Edward_F._Ricketts_State_Marine_Conservation_Area,,,,,36.6083,-121.8895,en,"<p><b>Edward F. Ricketts State Marine Conservation Area</b> and <b>Pacific Grove Marine Gardens State Marine Conservation Area</b> (SMCA) are two of four small <a href=""javascript:go('Marine_protected_areas')"" title=""Marine protected areas"" class=""mw-redirect"">marine protected areas</a> located near the cities of <a href=""javascript:go('Monterey')"" title=""Monterey"" class=""mw-redirect"">Monterey</a> and <a href=""javascript:go('Pacific_Grove,_California')"" title=""Pacific Grove, California"">Pacific Grove</a>, at the southern end of <a href=""javascript:go('Monterey_Bay')"" title=""Monterey Bay"">Monterey Bay</a> on California’s central coast. The four areas together encompass 2.96 square miles (7.7&#160;km<sup>2</sup>). Within SMCAs fishing and take of all living marine resources is prohibited except the recreational take of finfish by hook-and-line and the commercial take of giant and bull kelp under certain conditions.<sup id=""cite_ref-0"" class=""reference""><a href=""#cite_note-0""><span>[</span>1<span>]</span></a></sup></p>  <p><br /></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Edward_F._Ricketts_State_Marine_Conservation_Area"" target=""_blank"">Read full article..</a></p></div>"
CA212,Asilomar State Marine Reserve,http://en.wikipedia.org/wiki/Asilomar_State_Marine_Reserve,,,,,36.6217,-121.945,en,"<p><b>Asilomar State Marine Reserve</b> (SMR) is one of four small <a href=""javascript:go('Marine_protected_areas')"" title=""Marine protected areas"" class=""mw-redirect"">marine protected areas</a> (MPAs) located near the cities of <a href=""javascript:go('Monterey')"" title=""Monterey"" class=""mw-redirect"">Monterey</a> and <a href=""javascript:go('Pacific_Grove,_California')"" title=""Pacific Grove, California"">Pacific Grove</a>, at the southern end of <a href=""javascript:go('Monterey_Bay')"" title=""Monterey Bay"">Monterey Bay</a> on <a href=""javascript:go('California')"" title=""California"">California</a>’s central coast. The four MPAs together encompass 2.96 square miles (7.7&#160;km<sup>2</sup>). The SMR protects all marine life within its boundaries. Fishing and take of all living marine resources is prohibited.<sup id=""cite_ref-guide_0-0"" class=""reference""><a href=""#cite_note-guide-0""><span>[</span>1<span>]</span></a></sup></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Asilomar_State_Marine_Reserve"" target=""_blank"">Read full article..</a></p></div>"
CA223,Cambria State Marine Conservation Area,http://en.wikipedia.org/wiki/Cambria_State_Marine_Conservation_Area,,,,,35.5883,-121.1275,en,"<p><b>Cambria State Marine Conservation Area (SMCA)</b> is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> located off the coast of the city of <a href=""javascript:go('Cambria,_California')"" title=""Cambria, California"">Cambria, California</a> on California’s central coast in <a href=""javascript:go('San_Luis_Obispo_County,_California')"" title=""San Luis Obispo County, California"">San Luis Obispo County, California</a>. The marine protected area covers 6.26 square miles (16.2&#160;km<sup>2</sup>). Within the SMCA recreational fishing and take is allowed while commercial fishing and take of all living marine resources is prohibited.<sup id=""cite_ref-0"" class=""reference""><a href=""#cite_note-0""><span>[</span>1<span>]</span></a></sup></p>  <p><br /></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Cambria_State_Marine_Conservation_Area"" target=""_blank"">Read full article..</a></p></div>"
CA224,White Rock (Cambria) State Marine Conservation Area,http://en.wikipedia.org/wiki/White_Rock_%28Cambria%29_State_Marine_Conservation_Area,,landmark,US,10,35.5475,-121.0975,en,"<p><b>White Rock (Cambria) State Marine Conservation Area</b> (SMCA) is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> located off the coast of the city of <a href=""javascript:go('Cambria,_California')"" title=""Cambria, California"">Cambria, California</a> on California’s central coast. The marine protected area covers 2.32 square miles (6.0&#160;km<sup>2</sup>). Within the SMCA the take of all living marine resources is prohibited except the commercial take of giant kelp and bull kelp under certain conditions.<sup id=""cite_ref-0"" class=""reference""><a href=""#cite_note-0""><span>[</span>1<span>]</span></a></sup></p>  <p><br /></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/White_Rock_(Cambria)_State_Marine_Conservation_Area"" target=""_blank"">Read full article..</a></p></div>"
CA235,Sea Lion Cove State Marine Conservation Area,http://en.wikipedia.org/wiki/Sea_Lion_Cove_State_Marine_Conservation_Area,,landmark,US,6,38.94,-123.7303,en,"<div lang=""en"" dir=""ltr"" class=""mw-content-ltr""><p><b>Sea Lion Cove State Marine Conservation Area</b> (SMCA) is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> that lies onshore, just south of <a href=""javascript:go('Point_Arena')"" title=""Point Arena"" class=""mw-redirect"">Point Arena</a> in <a href=""javascript:go('Mendocino_County')"" title=""Mendocino County"">Mendocino County</a> on <a href=""javascript:go('California')"" title=""California"">California</a>’s north central coast. The marine protected area covers 0.22 square miles. Sea Lion Cove SMCA prohibits the commercial and recreational take of invertebrates, algae and other plants, but allows the take of all other species.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Sea_Lion_Cove_State_Marine_Conservation_Area"" target=""_blank"">Read full article..</a></p></div>"
CA237,Del Mar Landing State Marine Reserve,http://en.wikipedia.org/wiki/Del_Mar_Landing_State_Marine_Reserve,,,US,5,38.745,-123.5167,en,"<p><a rel=""nofollow"" class=""external text"" href=""http://toolserver.org/~para/cgi-bin/kmlexport?article=Del_Mar_Landing_State_Marine_Reserve&amp;redir=bing"">Map of first 200 coordinates from Bing</a></p>  <p><b>Del Mar Landing State Marine Reserve</b> (SMR) is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> that lies onshore, about two miles (3 km) south of the town of <a href=""javascript:go('Gualala')"" title=""Gualala"">Gualala</a> and three and a half miles north of <a href=""javascript:go('Sea_Ranch')"" title=""Sea Ranch"" class=""mw-redirect"">Sea Ranch</a> in <a href=""javascript:go('Sonoma_County')"" title=""Sonoma County"" class=""mw-redirect"">Sonoma County</a> on <a href=""javascript:go('California')"" title=""California"">California</a>’s north central coast. The marine protected area covers 0.22 square miles (0.57&#160;km<sup>2</sup>). Del Mar Landing SMR prohibits the take of all living marine resources.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Del_Mar_Landing_State_Marine_Reserve"" target=""_blank"">Read full article..</a></p></div>"
CA239,Salt Point State Marine Conservation Area,http://en.wikipedia.org/wiki/Salt_Point_State_Marine_Conservation_Area,,,US,7,38.5933,-123.3467,en,"<div lang=""en"" dir=""ltr"" class=""mw-content-ltr""><p><b>Salt Point State Marine Conservation Area</b> (SMCA) is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> that lies onshore from Fisk Mill Cove and south along <a href=""javascript:go('Salt_Point_State_Park')"" title=""Salt Point State Park"">Salt Point State Park</a> in <a href=""javascript:go('Sonoma_County')"" title=""Sonoma County"" class=""mw-redirect"">Sonoma County</a> on <a href=""javascript:go('California')"" title=""California"">California</a>’s north central coast. The marine protected area covers 3.12 square miles. Salt Point SMCA prohibits the take of all living marine resources, except the recreational take of abalone and finfish.</p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Salt_Point_State_Marine_Conservation_Area"" target=""_blank"">Read full article..</a></p></div>"
CA240,Gerstle Cove State Marine Reserve,http://en.wikipedia.org/wiki/Gerstle_Cove_State_Marine_Reserve,,,US,2,38.5658,-123.332,en,"<div lang=""en"" dir=""ltr"" class=""mw-content-ltr""><p><br /></p>  <p><b>Gerstle Cove State Marine Reserve</b> (SMR) is a <a href=""javascript:go('Marine_protected_area')"" title=""Marine protected area"">marine protected area</a> that lies onshore from <a href=""javascript:go('Salt_Point_State_Park')"" title=""Salt Point State Park"">Salt Point State Park</a>, within the <a href=""javascript:go('Salt_Point_State_Marine_Conservation_Area')"" title=""Salt Point State Marine Conservation Area"">Salt Point State Marine Conservation Area</a>, in <a href=""javascript:go('Sonoma_County')"" title=""Sonoma County"" class=""mw-redirect"">Sonoma County</a> on <a href=""javascript:go('California')"" title=""California"">California</a>’s north central coast. The marine protected area covers 0.1 square miles. Gerstle Cove SMR prohibits the take of all living resources.</p>  <p><br /></p><div class=""no-print""><p><a href=""http://en.wikipedia.org/wiki/Gerstle_Cove_State_Marine_Reserve"" target=""_blank"">Read full article..</a></p></div>"
